,Balance_Total,Balance_Goods,Balance_Services,Exports_Total,Exports_Goods,Exports_Services,Imports_Total,Imports_Goods,Imports_Services
  Period,Total,Goods,Services,Total,Goods,Services,Total,Goods,Services
1992,,,,,,,,,
Jan. - Dec.,39212,-96897,57685,616882,439631,177251,656094,536528,119566
January,2026,-6952,4926,50251,35498,14753,52277,42450,9827
February,831,-5593,4762,51682,36854,14828,52513,42447,10066
March,2641,-7355,4714,50294,35711,14583,52935,43066,9869
April,3109,-8284,5175,50302,35439,14863,53411,43723,9688
May,3919,-8720,4801,50044,35403,14641,53963,44123,9840
June,2824,-7538,4714,51727,37099,14628,54551,44637,9914
July,2781,-7433,4652,52533,37753,14780,55313,45185,10128
August,4455,-9317,4862,50940,36051,14889,55395,45368,10027
September,3530,-8451,4921,51984,37043,14941,55515,45495,10020
October,3520,-8354,4834,53035,37997,15038,56556,46352,10204
November,3968,-8714,4746,52246,37519,14727,56214,46233,9981
December,5603,-10185,4582,51843,37264,14579,57446,47449,9997
1993,0,,,,,,,,
Jan. - Dec.,70310,-132451,62141,642863,456943,185920,713174,589394,123780
January,3871,-9001,5130,52568,37411,15157,56439,46412,10027
February,3596,-9167,5571,52480,37002,15478,56076,46169,9907
March,6777,-12064,5287,53035,37686,15349,59813,49751,10062
April,6445,-11674,5229,53139,37589,15550,59584,49263,10321
May,4369,-9682,5313,54229,38821,15408,58598,48503,10095
June,6929,-12187,5258,52346,36847,15499,59275,49034,10241
July,6382,-11681,5299,52818,37215,15603,59200,48896,10304
August,5581,-11020,5439,53224,37561,15663,58805,48581,10224
September,7031,-12080,5049,53648,38206,15442,60679,50286,10393
October,6594,-11775,5181,55476,39511,15965,62069,51285,10784
November,7016,-11447,4431,54345,39254,15091,61361,50701,10660
December,5719,-10673,4954,55552,39841,15711,61271,50514,10757
1994,0,,,,,,,,
Jan. - Dec.,98493,-165831,67338,703254,502859,200395,801747,668690,133057
January,6207,-11043,4836,55159,39721,15438,61365,50763,10602
February,9245,-14038,4793,53729,37850,15879,62974,51888,11086
March,6466,-12390,5924,58307,41262,17045,64772,53651,11121
April,7887,-13408,5521,56436,39987,16449,64323,53395,10928
May,7728,-13301,5573,57342,40747,16595,65070,54048,11022
June,8380,-14241,5861,58451,41517,16934,66831,55758,11073
July,8739,-14633,5894,58492,41475,17017,67230,56107,11123
August,8303,-13960,5657,60407,43522,16885,68710,57482,11228
September,8310,-13801,5491,60715,43950,16765,69026,57752,11274
October,9158,-14788,5630,59861,43087,16774,69019,57875,11144
November,9615,-15643,6028,61532,44280,17252,71147,59923,11224
December,8456,-14586,6130,62825,45461,17364,71281,60047,11234
1995,0,,,,,,,,
Jan. - Dec.,96384,-174170,77786,794387,575204,219183,890771,749374,141397
January,9324,-15562,6238,63118,45458,17660,72442,61020,11422
February,8817,-14487,5670,63077,46031,17046,71894,60518,11376
March,9708,-15547,5839,64349,46882,17467,74057,62429,11628
April,9609,-15901,6292,65074,47165,17909,74682,63065,11617
May,9090,-15420,6330,65755,47742,18013,74845,63162,11683
June,10623,-16068,5445,64855,47614,17241,75478,63682,11796
July,7688,-14448,6760,66560,47985,18575,74247,62432,11815
August,6704,-13515,6811,67469,48770,18699,74173,62285,11888
September,5924,-13187,7263,68943,49781,19162,74867,62968,11899
October,6114,-12861,6747,68105,49272,18833,74219,62133,12086
November,6514,-13597,7083,68009,48852,19157,74523,62449,12074
December,6271,-13577,7306,69071,49653,19418,75342,63230,12112
1996,0,,,,,,,,
Jan. - Dec.,104065,-191000,86935,851602,612113,239489,955667,803113,152554
January,8465,-15007,6542,68299,49554,18745,76764,64561,12203
February,7319,-13764,6445,69899,50973,18926,77217,64736,12481
March,7756,-15122,7366,69797,50026,19771,77553,65148,12405
April,8744,-15597,6853,70126,50797,19329,78870,66394,12476
May,9259,-16668,7409,71029,50914,20115,80288,67582,12706
June,7460,-14944,7484,71056,51150,19906,78516,66094,12422
July,10132,-16397,6265,69404,50030,19374,79536,66427,13109
August,10357,-17097,6740,70563,50877,19686,80919,67973,12946
September,10195,-17018,6823,70553,50949,19604,80748,67967,12781
October,6635,-15070,8435,73769,52306,21463,80404,67376,13028
November,7268,-15814,8546,74263,52698,21565,81531,68512,13019
December,10475,-18502,8027,72842,51840,21002,83317,70342,12975
1997,0,,,,,,,,
Jan. - Dec.,108273,-198428,90155,934453,678366,256087,1042726,876794,165932
January,11269,-18455,7186,72910,52260,20650,84179,70715,13464
February,9776,-17036,7260,75225,54470,20755,85001,71506,13495
March,8383,-16048,7665,77050,55940,21110,85433,71988,13445
April,8086,-15778,7692,77769,56621,21148,85855,72399,13456
May,8394,-16248,7854,77883,56386,21497,86277,72634,13643
June,7154,-15021,7867,78889,57242,21647,86043,72263,13780
July,7033,-14718,7685,80099,58545,21554,87132,73263,13869
August,8743,-16505,7762,78622,56895,21727,87365,73400,13965
September,9269,-16597,7328,79287,57714,21573,88556,74311,14245
October,9089,-16820,7731,79383,57655,21728,88472,74475,13997
November,9786,-16854,7068,78300,56982,21318,88086,73836,14250
December,11289,-18350,7061,79038,57654,21384,90327,76004,14323
1998,#VALUE!, , , , , , , ,
Jan. - Dec.     ,166140,-248221,82081,933174,670416,262758,1099314,918637,180677
January        ,10776,-18016,7240,79008,57500,21508,89784,75516,14268
February       ,11564,-18302,6738,77931,56627,21304,89495,74929,14566
March          ,12880,-20288,7408,78812,56934,21878,91692,77222,14470
April          ,13940,-21488,7548,77626,55229,22397,91566,76717,14849
May            ,14202,-21493,7291,77147,55073,22074,91349,76566,14783
June           ,13247,-19957,6710,76961,55257,21704,90208,75214,14994
July           ,13949,-20316,6367,76149,54618,21531,90098,74934,15164
August         ,16028,-22389,6361,75512,53945,21567,91540,76334,15206
September      ,14820,-21096,6276,77179,55490,21689,91999,76586,15413
October        ,14815,-21414,6599,79351,56962,22389,94166,78376,15790
November       ,15173,-21752,6579,79117,56949,22168,94290,78701,15589
December       ,14745,-21709,6964,78382,55833,22549,93127,77542,15585
1999,#VALUE!,, ,,, ,,, 
Jan. - Dec.,255809,-337067,81258,976526,698525,278001,1232334,1035592,196742
January,15612,-22105,6493,78457,56280,22177,94069,78385,15684
February,18152,-24833,6681,78164,55625,22539,96316,80458,15858
March,17477,-24194,6717,78699,56014,22684,96175,80208,15967
April,17977,-24578,6601,79524,56902,22622,97501,81481,16020
May,20442,-27090,6648,79514,56724,22790,99956,83814,16142
June,23083,-29943,6860,79780,56664,23117,102864,86607,16257
July,23360,-30415,7055,81106,57510,23596,104466,87925,16541
August,22946,-29992,7046,82662,58973,23690,105608,88964,16644
September,23030,-30025,6995,83740,59957,23782,106770,89983,16788
October,23779,-30608,6829,83961,60317,23644,107740,90925,16815
November,24828,-31526,6698,84664,60889,23774,109492,92415,17077
December,25122,-31757,6635,86254,62670,23585,111377,94427,16950
2000,0,,,,,,,,
Jan. - Dec.,369685,-446781,77096,1082963,784940,298023,1452648,1231721,220927
January,26506,-32734,6228,85997,62497,23499,112502,95232,17271
February,28640,-35060,6420,86471,62373,24098,115111,97433,17678
March,30116,-36885,6769,88103,63544,24559,118218,100429,17790
April,28740,-35814,7074,89351,64283,25067,118091,100097,17994
May,29905,-36623,6718,88944,64002,24941,118849,100626,18223
June,30907,-37768,6861,91607,66332,25275,122514,104099,18414
July,31872,-38148,6276,91167,66006,25161,123039,104154,18885
August,30581,-36688,6107,93136,67938,25198,123717,104627,19091
September,33891,-39746,5855,92911,67870,25041,126802,107616,19186
October,34025,-40170,6145,92231,67112,25120,126257,107282,18975
November,32242,-38374,6132,91933,66899,25034,124176,105274,18902
December,32258,-38771,6513,91113,66081,25032,123372,104853,18519
2001,0,,,,,,,,
Jan. - Dec.,360373,-422370,61997,1015366,731331,284035,1375739,1153700,222039
January,35202,-40754,5552,90795,65979,24816,125998,106733,19265
February,29301,-35305,6004,91101,66272,24828,120401,101577,18824
March,32811,-38540,5729,89251,64526,24726,122062,103065,18997
April,30521,-36105,5584,87903,63262,24641,118424,99367,19057
May,27095,-32630,5535,88477,63882,24595,115572,96512,19060
June,29150,-34829,5679,85939,61363,24576,115089,96192,18897
July,29903,-35176,5273,83201,59411,23790,113104,94588,18517
August,28094,-33391,5297,83881,60011,23871,111975,93402,18573
September,30217,-35338,5121,79509,56531,22978,109726,91870,17856
October,30587,-35083,4496,79062,57087,21975,109650,92170,17479
November,30004,-33997,3993,78446,56825,21621,108449,90822,17627
December,27488,-31221,3733,77800,56182,21619,105288,87403,17886
2002,0,,,,,,,,
Jan. - Dec.,420665,-475244,54579,986096,698037,288059,1406762,1173281,233480
January,29677,-33806,4129,79260,56438,22822,108937,90244,18693
February,32500,-36219,3719,79264,56133,23131,111765,92352,19413
March,31162,-36101,4939,80345,56224,24121,111506,92325,19181
April,33965,-38648,4683,82072,58365,23707,116036,97013,19024
May,34026,-39212,5186,82427,58224,24203,116453,97437,19017
June,34732,-39676,4944,83564,59245,24318,118296,98922,19374
July,33912,-38691,4779,83724,59580,24144,117636,98271,19365
August,36385,-41136,4751,83689,59622,24067,120075,100759,19316
September,36088,-41176,5088,83487,59249,24238,119575,100425,19150
October,35094,-39487,4393,82768,58438,24330,117861,97925,19937
November,39516,-43801,4285,83919,59307,24612,123435,103108,20327
December,43608,-47290,3682,81578,57211,24367,125186,104501,20685
2003,0,,,,,,,,
Jan. - Dec.,496242,-541643,45401,1028186,730446,297740,1524428,1272089,252340
January,41156,-44682,3526,82513,58689,23824,123668,103370,20298
February,40081,-43453,3372,83095,59387,23708,123176,102839,20336
March,43807,-47086,3279,83156,59473,23683,126963,106559,20404
April,42036,-45665,3629,82566,58792,23773,124602,104457,20145
May,41045,-45108,4063,82630,58811,23819,123676,103919,19756
June,39697,-43897,4200,85173,60936,24237,124870,104833,20037
July,41321,-44941,3620,85944,61205,24739,127264,106146,21118
August,39892,-43611,3719,84905,59729,25176,124797,103341,21457
September,41842,-45611,3769,86969,61406,25563,128811,107017,21794
October,41388,-45370,3982,88890,62858,26032,130278,108228,22050
November,39898,-44024,4126,91322,64991,26332,131220,109015,22205
December,44079,-48195,4116,91024,64169,26855,135103,112364,22739
2004,0,,,,,,,,
Jan. - Dec.,610837,-664764,53927,1168120,823584,344536,1778957,1488348,290609
January,44645,-48867,4222,90564,63243,27321,135209,112111,23099
February,44551,-49026,4475,94131,66443,27689,138683,115469,23214
March,46754,-51543,4789,96707,68474,28233,143461,120017,23444
April,47284,-52183,4899,96398,67810,28588,143682,119993,23689
May,47552,-52559,5007,98197,69480,28717,145749,122039,23710
June,54169,-58940,4771,95773,67025,28747,149941,125965,23976
July,51606,-56104,4498,96907,68510,28397,148513,124614,23899
August,53647,-56934,3287,97295,68980,28316,150942,125914,25028
September,51685,-55895,4210,98782,70139,28643,150468,126035,24433
October,55057,-59561,4504,100494,70934,29560,155552,130495,25057
November,58967,-63496,4529,100090,70147,29943,159057,133643,25414
December,54918,-59655,4737,102781,72398,30382,157699,132053,25646
2005,0,,,,,,,,
Jan. - Dec.,716543,-782805,66262,1291503,913016,378487,2008046,1695821,312225
